PT,uitkomstcode,redenering,gekozen_pt,evmv_npts
aangepaste woningen,7,De kandidaatterm is het enkelvoud van de PT en komt exact overeen op betekenis en vorm.,aangepaste woning,['aangepaste woning']
aan-huisgebondenen,7,"De term 'aan-huisgebondene' is het enkelvoud van de PT en de meest gebruikelijke spelling. 'aan-huis-gebondene' is een alternatieve spelling, maar minder gangbaar.",aan-huisgebondene,"['aan-huisgebondene', 'aan-huis-gebondene']"
aankleedhulpmiddelen,7,De kandidaatterm is het enkelvoud van de PT en komt het beste overeen qua betekenis. De andere kandidaten zijn breder of anders geformuleerd.,aankleedhulpmiddel,"['aan- en uitkleedhulpmiddel', 'aan- en uittrekhulp', 'aankleedhulpmiddel']"
aanlegplaatsen,7,De kandidaatterm is het enkelvoud van de PT en komt exact overeen op betekenis en vorm.,aanlegplaats,['aanlegplaats']
aanleuncampings,7,De kandidaatterm is het enkelvoud van de PT en komt exact overeen op betekenis en vorm.,aanleuncamping,['aanleuncamping']
aanleunwoningen,7,De kandidaatterm is het enkelvoud van de PT en komt exact overeen op betekenis en vorm.,aanleunwoning,['aanleunwoning']
aanmeldingsfase,1,Geen gekoppelde evmv NPT's,,[]
aanmerkelijke marktmacht,1,Geen gekoppelde evmv NPT's,,[]
aanmoedigingsprijzen,1,Geen gekoppelde evmv NPT's,,[]
aanneming van werk,1,Geen gekoppelde evmv NPT's,,[]
aanpasbaar bouwen,1,Geen gekoppelde evmv NPT's,,[]
aanpassingen,1,Geen gekoppelde evmv NPT's,,[]
aanschuifonderwijs,1,Geen gekoppelde evmv NPT's,,[]
aanmaning,4,‘Aanmaning’ is enkelvoud; het meervoud zou ‘aanmaningen’ zijn.,,[]
aanmelding,4,‘Aanmelding’ is enkelvoud; het meervoud zou ‘aanmeldingen’ zijn.,,[]
aanpassingsstoornis,4,‘Aanpassingsstoornis’ is enkelvoud; het meervoud zou ‘aanpassingsstoornissen’ zijn.,,[]
aanranding,4,‘Aanranding’ is enkelvoud; het meervoud zou ‘aanrandingen’ zijn.,,[]
aansluiting,4,‘Aansluiting’ is enkelvoud; het meervoud zou ‘aansluitingen’ zijn.,,[]
aansprakelijkheid,4,‘Aansprakelijkheid’ is enkelvoud; het meervoud zou ‘aansprakelijkheden’ zijn.,,[]
aanvaarding,4,‘Aanvaarding’ is enkelvoud; het meervoud zou ‘aanvaardingen’ zijn (hoewel ongebruikelijk).,,[]
aanvraag,4,‘Aanvraag’ is enkelvoud; het meervoud zou ‘aanvragen’ zijn.,,[]
aanmeldcentra,7,De kandidaat 'aanmeldcentrum' is de enkelvoudsvorm van de PT 'aanmeldcentra' en komt volledig overeen qua betekenis en vorm.,aanmeldcentrum,['aanmeldcentrum']
aanpassingen om het huis,7,De kandidaat 'aanpassing om het huis' is de enkelvoudsvorm van de PT en sluit volledig aan bij de betekenis.,aanpassing om het huis,['aanpassing om het huis']
aansprakelijkheidsverzekeringen,7,De kandidaat 'aansprakelijkheidsverzekering' is de enkelvoudsvorm van de PT en is inhoudelijk identiek.,aansprakelijkheidsverzekering,['aansprakelijkheidsverzekering']
aanspraken,7,De kandidaat 'aanspraak' is de enkelvoudsvorm van de PT en komt volledig overeen qua betekenis.,aanspraak,['aanspraak']
aanstaande ouders,7,De kandidaat 'aanstaande ouder' is de enkelvoudsvorm van de PT en sluit volledig aan bij de betekenis.,aanstaande ouder,['aanstaande ouder']
aanvraag aangepaste zorgtoewijzing,1,Geen gekoppelde evmv NPT's,,[]
aanvrager gefedereerde analyse,1,Geen gekoppelde evmv NPT's,,[]
aanvullend vervoer,1,Geen gekoppelde evmv NPT's,,[]
aanvraagformulieren,7,‘aanvraagformulier’ is de enkelvoudsvorm van de PT ‘aanvraagformulieren’ en komt qua betekenis en vorm volledig overeen.,aanvraagformulier,['aanvraagformulier']
